OBJECTID_1,PARKING_LO,ROTATE,CREATED_BY,CREATED_DA,MODIFIED_B,MODIFIED_D,access_type,CreationDate,Creator,EditDate,Editor,Location,LATITUDE,LONGITUDE
30,57,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2610703, -97.7379913)",30.2610703,-97.7379913
31,64,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2697144, -97.738121)",30.2697144,-97.738121
32,66,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2713547, -97.7375717)",30.2713547,-97.7375717
33,67,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2712383, -97.7362595)",30.2712383,-97.7362595
34,68,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2669029, -97.7354431)",30.2669029,-97.7354431
35,70,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2665501, -97.7361374)",30.2665501,-97.7361374
36,73,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.265316, -97.7371216)",30.265316,-97.7371216
37,74,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2649364, -97.7357941)",30.2649364,-97.7357941
38,77,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2668571, -97.7469711)",30.2668571,-97.7469711
39,82,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2695103, -97.7400208)",30.2695103,-97.7400208
40,84,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2708836, -97.7445679)",30.2708836,-97.7445679
41,88,16, ,, ,,,10/25/2016 11:09:00 PM,ATD_Publisher,10/25/2016 11:09:00 PM,ATD_Publisher,"(30.2686977, -97.7388916)",30.2686977,-97.7388916
